"CAS","SMILES","route","a_2u_nephropathy","abdominal_cavity","adipose_tissue","adrenal_gland","bladder","body_weight","bone","bone_marrow","brain","clinical_chemistry","CNS","endocrine_system","female_reproductive_organ","gall_bladder_bile_duct","haematopoiesis","Harderian_gland","heart","immune_system","intestine","kidney","liver","lymph_node","male_accessory_gland","male_reproductive_organ","mammary_gland","pancreas","pituitary_gland_hypohysis","RBC","salivary_gland","skeletal_muscle","skin_subcutaneous_tissue","spinal_cord","spleen","thymus","thyroid_gland","trachea","urinary_tract","urine_analysis","vascular_system","WBC"
51036,"c12c(cc(COCCOCCOCCCC)c(CCC)c1)OCO2","oral",0,0,0,0,0,5.5577270397,0,0,0,1.3894317599,0,0,0,0,0,0,0,0,0,1.3894317599,2.7788635199,0,0,0,0,0,0,2.7788635199,0,0,0,0,0,0,0,0,0,0,0,0
56939,"c1(CN{+}(C)(C)(C).Cl{-})ccccc1","oral",0,0,0,0,0,0.5385029618,0,0,0,0.1346257404,0.0673128702,0.1346257404,0,0,0,0,0,0,0,0,0.5385029618,0,0,0,0,0,0,0.0673128702,0,0,0,0,0,0,0,0,0,0,0,0.0673128702
58082,"C1(=O)C2=C(N(C)C(=O)N1C)NC=N2C","oral",0,0,0,0,0,1.4006900458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1014470364,0,0,0,0,0,0,0,0,0,0,0
58559,"C1(=O)C2=C(N(C)C(=O)N1C)NC=N2","oral",0,0,0,0,0,0.8325470389,0,0,0.8325470389,0,0,0,0.8325470389,0,0,0,0,0,0,0,0.4162735195,0,0,0,0,0,0,0.2081367597,0,0,0,0,0,0.8325470389,0,0,0,0,0.2081367597,0
58899,"C1(Cl)C(Cl)C(Cl)C(Cl)C(Cl)C1Cl","oral",0,0,0,0,0,0.0269481189,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0053896238,0.0002155849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59870,"C1(C=NNC(N)=O)=CC=C(N(=O)=O)O1","oral",0,0,0,0,0,0.2452376742,0.2452376742,0,0,0,0.9888615895,0,0.4944307947,0,0,0,0,0,0,0,0.0593316954,0,0,0.1226188371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60297,"C(C)OCC","oral",0,0,0,0,0,26.9832703724,0,0,47.2207231516,47.2207231516,0,0,0,0,0,0,47.2207231516,0,0,47.2207231516,26.9832703724,0,0,47.2207231516,0,0,0,47.2207231516,0,0,0,0,47.2207231516,0,0,0,0,0,0,0
64175,"C(C)O","oral",137.8770433592,0,0,0,0,0,0,0,0,137.8770433592,0,0,0,0,0,0,0,0,0,0,137.8770433592,0,0,0,0,0,0,137.8770433592,0,0,0,0,0,137.8770433592,0,0,0,0,0,0
67209,"C1(C=NN2C(=O)NC(=O)C2)=CC=C(N(=O)=O)O1","oral",0,0,0,0,0,0.8226949754,0,0,0,0,0,0,0.8226949754,0,0,0,0,0,0,0,1.6453899508,0,0,0.8226949754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67641,"C(C)(C)=O","oral",5.4683155885,0,0,0,0,109.3663117693,0,0,43.044077135,0,0,0,0,0,0,0,0,0,0,5.4683155885,43.044077135,0,0,109.3663117693,0,0,0,10.936631177,0,0,0,0,43.7465247076,0,0,0,0,0,0,10.936631177
67721,"C(Cl)(Cl)(Cl)C(Cl)(Cl)Cl","oral",0,0,0,0,3.1680324407,3.1680324407,0,0,3.1680324407,0,0.3970600659,0,0,0,0,0,1.5840162203,0,0,0.1985300329,0.7941201318,0,0,3.1680324407,0,0,0,0,0,0,0,0,0,3.1680324407,0,0,0,3.1680324407,0,0
74839,"CBr","oral",0,0,0,0,0,0.0042131873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5266484095,0,0,0,0,0,0,0,0,0,0,0,0
75127,"C(N)=O","oral",0,0,0,0,0,0.8880994671,0,0,0,3.5523978686,0,0,0,0,0,0,0.8880994671,0,0,0.8880994671,1.7761989343,0,0,3.5523978686,0,0,0,0.8880994671,0,0,0,0,0,3.5523978686,0,0,0,0,0,0.8880994671
75252,"C(Br)(Br)Br","oral",0,0,0,0,0,0,0,0,0,1.2566761737,0,0,0,0,0,0,0,0,0,0,0.0025133524,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0025133524,0,0,0,0,0.0025133524
75274,"C(Cl)(Cl)Br","oral",0,0,0,0,0,0.9155832265,0,0,0,0,0,0,0,1.831166453,0,0,0,0,0,1.831166453,1.831166453,1.831166453,1.831166453,0,0,0,0,0,0,0,0,0,1.831166453,1.831166453,0,0,0,0,0,0
75354,"C(=C)(Cl)Cl","oral",0,0,0,0,0,2.5789147927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0515782959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
